  r_x        r_y      r_z       E_MG_1  E_MG_2  E_NP   E_T (eV)
  47.500     0.000    0.000     3.151   3.320   3.130  2.9961665286e-02
  47.500     0.000    0.000     3.191   3.363   3.130  2.7355028980e-02
  47.500     0.000    0.000     3.232   3.406   3.130  2.4155478114e-02
  47.500     0.000    0.000     3.272   3.448   3.130  2.1003984176e-02
  47.500     0.000    0.000     3.313   3.491   3.130  1.8229944062e-02
  47.500     0.000    0.000     3.353   3.533   3.130  1.5884087830e-02
  47.500     0.000    0.000     3.393   3.576   3.130  1.3959469746e-02
  47.500     0.000    0.000     3.434   3.618   3.130  1.2364305836e-02
  47.500     0.000    0.000     3.474   3.661   3.130  1.0952570747e-02
  47.500     0.000    0.000     3.515   3.703   3.130  9.8859500908e-03
  47.500     0.000    0.000     3.555   3.746   3.130  8.8333747984e-03
  47.500     0.000    0.000     3.595   3.789   3.130  8.1014602607e-03
  47.500     0.000    0.000     3.636   3.831   3.130  7.3631982646e-03
  47.500     0.000    0.000     3.676   3.874   3.130  6.6659030494e-03
  47.500     0.000    0.000     3.717   3.916   3.130  6.2091548186e-03
  47.500     0.000    0.000     3.757   3.959   3.130  5.7500081904e-03
  47.500     0.000    0.000     3.797   4.001   3.130  5.2932763927e-03
  47.500     0.000    0.000     3.838   4.044   3.130  4.8433723083e-03
  47.500     0.000    0.000     3.878   4.087   3.130  4.5023442623e-03
  47.500     0.000    0.000     3.919   4.129   3.130  4.2532025084e-03
  47.500     0.000    0.000     3.959   4.172   3.130  4.0043147337e-03
  47.500     0.000    0.000     3.999   4.214   3.130  3.7572692444e-03
  47.500     0.000    0.000     4.040   4.257   3.130  3.5134997298e-03
  47.500     0.000    0.000     4.080   4.299   3.130  3.2743192494e-03
  47.500     0.000    0.000     4.121   4.342   3.130  3.0408814017e-03
  47.500     0.000    0.000     4.161   4.385   3.130  2.8142077476e-03
  47.500     0.000    0.000     4.201   4.427   3.130  2.6201384854e-03
  47.500     0.000    0.000     4.242   4.470   3.130  2.5094869504e-03
  47.500     0.000    0.000     4.282   4.512   3.130  2.3995021060e-03
  47.500     0.000    0.000     4.323   4.555   3.130  2.2905641855e-03
  47.500     0.000    0.000     4.363   4.597   3.130  2.1830125914e-03
  47.500     0.000    0.000     4.403   4.640   3.130  2.0771614123e-03
  47.500     0.000    0.000     4.444   4.683   3.130  1.9733008602e-03
  47.500     0.000    0.000     4.484   4.725   3.130  1.8716859823e-03
  47.500     0.000    0.000     4.525   4.768   3.130  1.7725378067e-03
  47.500     0.000    0.000     4.565   4.810   3.130  1.6760558371e-03
  47.500     0.000    0.000     4.605   4.853   3.130  1.5824161515e-03
  47.500     0.000    0.000     4.646   4.895   3.130  1.4917575557e-03
  47.500     0.000    0.000     4.686   4.938   3.130  1.4042134906e-03
  47.500     0.000    0.000     4.727   4.981   3.130  1.3198717599e-03
  47.500     0.000    0.000     4.767   5.023   3.130  1.2388159569e-03
  47.500     0.000    0.000     4.807   5.066   3.130  1.1610967999e-03
  47.500     0.000    0.000     4.848   5.108   3.130  1.0867577086e-03
  47.500     0.000    0.000     4.888   5.151   3.130  1.0158153665e-03
  47.500     0.000    0.000     4.928   5.193   3.130  9.4827569466e-04
  47.500     0.000    0.000     4.969   5.236   3.130  8.8412278654e-04
  47.500     0.000    0.000     5.009   5.279   3.130  8.4602284715e-04
  47.500     0.000    0.000     5.050   5.321   3.130  8.1521423992e-04
  47.500     0.000    0.000     5.090   5.364   3.130  7.8511543694e-04
  47.500     0.000    0.000     5.130   5.406   3.130  7.5574976043e-04
  47.500     0.000    0.000     5.171   5.449   3.130  7.2713831627e-04
  47.500     0.000    0.000     5.211   5.491   3.130  6.9929758768e-04
  47.500     0.000    0.000     5.252   5.534   3.130  6.7223951415e-04
  47.500     0.000    0.000     5.292   5.577   3.130  6.4597624369e-04
  47.500     0.000    0.000     5.332   5.619   3.130  6.2051458475e-04
  47.500     0.000    0.000     5.373   5.662   3.130  5.9586144609e-04
  47.500     0.000    0.000     5.413   5.704   3.130  5.7201904548e-04
  47.500     0.000    0.000     5.454   5.747   3.130  5.4898987033e-04
  47.500     0.000    0.000     5.494   5.789   3.130  5.2677220803e-04
  47.500     0.000    0.000     5.534   5.832   3.130  5.0536474022e-04
  47.500     0.000    0.000     5.575   5.875   3.130  4.8476257258e-04
  47.500     0.000    0.000     5.615   5.917   3.130  4.6496027249e-04
  47.500     0.000    0.000     5.656   5.960   3.130  4.4595220672e-04
  47.500     0.000    0.000     5.696   6.002   3.130  4.2773021405e-04
  47.500     0.000    0.000     5.736   6.045   3.130  4.1028429871e-04
  47.500     0.000    0.000     5.777   6.087   3.130  3.9360589772e-04
  47.500     0.000    0.000     5.817   6.130   3.130  3.7768393752e-04
  47.500     0.000    0.000     5.858   6.172   3.130  3.6250778204e-04
  47.500     0.000    0.000     5.898   6.215   3.130  3.4806513210e-04
  47.500     0.000    0.000     5.938   6.258   3.130  3.3434401149e-04
  47.500     0.000    0.000     5.979   6.300   3.130  3.2133211816e-04
  47.500     0.000    0.000     6.019   6.343   3.130  3.0901651889e-04

  48.000     0.000    0.000     2.020   2.128   3.130  7.2893092188e-04
  48.000     0.000    0.000     2.060   2.171   3.130  8.0855655067e-04
  48.000     0.000    0.000     2.101   2.214   3.130  8.9436110197e-04
  48.000     0.000    0.000     2.141   2.256   3.130  9.8625056609e-04
  48.000     0.000    0.000     2.181   2.299   3.130  1.1239028841e-03
  48.000     0.000    0.000     2.222   2.341   3.130  1.2846540420e-03
  48.000     0.000    0.000     2.262   2.384   3.130  1.4612998408e-03
  48.000     0.000    0.000     2.303   2.426   3.130  1.6536226393e-03
  48.000     0.000    0.000     2.343   2.469   3.130  1.8611387448e-03
  48.000     0.000    0.000     2.383   2.512   3.130  2.0830853134e-03
  48.000     0.000    0.000     2.424   2.554   3.130  2.4290124217e-03
  48.000     0.000    0.000     2.464   2.597   3.130  2.8031154231e-03
  48.000     0.000    0.000     2.505   2.639   3.130  3.2062355251e-03
  48.000     0.000    0.000     2.545   2.682   3.130  3.6925298242e-03
  48.000     0.000    0.000     2.585   2.724   3.130  4.3288092412e-03
  48.000     0.000    0.000     2.626   2.767   3.130  5.0099854174e-03
  48.000     0.000    0.000     2.666   2.810   3.130  5.9202880560e-03
  48.000     0.000    0.000     2.707   2.852   3.130  6.9366077319e-03
  48.000     0.000    0.000     2.747   2.895   3.130  8.2800847109e-03
  48.000     0.000    0.000     2.787   2.937   3.130  9.8674155238e-03
  48.000     0.000    0.000     2.828   2.980   3.130  1.1802104443e-02
  48.000     0.000    0.000     2.868   3.022   3.130  1.4159463001e-02
  48.000     0.000    0.000     2.909   3.065   3.130  1.6956629488e-02
  48.000     0.000    0.000     2.949   3.108   3.130  2.0112269426e-02
  48.000     0.000    0.000     2.989   3.150   3.130  2.3402979214e-02
  48.000     0.000    0.000     3.030   3.193   3.130  2.6477794201e-02
  48.000     0.000    0.000     3.070   3.235   3.130  2.8685709132e-02
  48.000     0.000    0.000     3.111   3.278   3.130  2.9463586505e-02
  48.000     0.000    0.000     3.151   3.320   3.130  2.8444013526e-02
  48.000     0.000    0.000     3.191   3.363   3.130  2.5960034022e-02
  48.000     0.000    0.000     3.232   3.406   3.130  2.2896361332e-02
  48.000     0.000    0.000     3.272   3.448   3.130  1.9890728914e-02
  48.000     0.000    0.000     3.313   3.491   3.130  1.7263640838e-02
  48.000     0.000    0.000     3.353   3.533   3.130  1.5042885010e-02
  48.000     0.000    0.000     3.393   3.576   3.130  1.3221654485e-02
  48.000     0.000    0.000     3.434   3.618   3.130  1.1712901621e-02
  48.000     0.000    0.000     3.474   3.661   3.130  1.0378206646e-02
  48.000     0.000    0.000     3.515   3.703   3.130  9.3729607066e-03
  48.000     0.000    0.000     3.555   3.746   3.130  8.3558923291e-03
  48.000     0.000    0.000     3.595   3.789   3.130  7.6875422400e-03
  48.000     0.000    0.000     3.636   3.831   3.130  6.9905905572e-03
  48.000     0.000    0.000     3.676   3.874   3.130  6.3307792582e-03
  48.000     0.000    0.000     3.717   3.916   3.130  5.8996820052e-03
  48.000     0.000    0.000     3.757   3.959   3.130  5.4658080295e-03
  48.000     0.000    0.000     3.797   4.001   3.130  5.0337736394e-03
  48.000     0.000    0.000     3.838   4.044   3.130  4.6078168361e-03
  48.000     0.000    0.000     3.878   4.087   3.130  4.2846733502e-03
  48.000     0.000    0.000     3.919   4.129   3.130  4.0489223939e-03
  48.000     0.000    0.000     3.959   4.172   3.130  3.8132047750e-03
  48.000     0.000    0.000     3.999   4.214   3.130  3.5790283241e-03
  48.000     0.000    0.000     4.040   4.257   3.130  3.3477822995e-03
  48.000     0.000    0.000     4.080   4.299   3.130  3.1207320342e-03
  48.000     0.000    0.000     4.121   4.342   3.130  2.8989986661e-03
  48.000     0.000    0.000     4.161   4.385   3.130  2.6835552480e-03
  48.000     0.000    0.000     4.201   4.427   3.130  2.4988290710e-03
  48.000     0.000    0.000     4.242   4.470   3.130  2.3936499010e-03
  48.000     0.000    0.000     4.282   4.512   3.130  2.2890459740e-03
  48.000     0.000    0.000     4.323   4.555   3.130  2.1853692915e-03
  48.000     0.000    0.000     4.363   4.597   3.130  2.0829700252e-03
  48.000     0.000    0.000     4.403   4.640   3.130  1.9821415508e-03
  48.000     0.000    0.000     4.444   4.683   3.130  1.8831608478e-03
  48.000     0.000    0.000     4.484   4.725   3.130  1.7862802845e-03
  48.000     0.000    0.000     4.525   4.768   3.130  1.6917162119e-03
  48.000     0.000    0.000     4.565   4.810   3.130  1.5996626411e-03
  48.000     0.000    0.000     4.605   4.853   3.130  1.5102915985e-03
  48.000     0.000    0.000     4.646   4.895   3.130  1.4237426521e-03
  48.000     0.000    0.000     4.686   4.938   3.130  1.3401358094e-03
  48.000     0.000    0.000     4.727   4.981   3.130  1.2595721772e-03
  48.000     0.000    0.000     4.767   5.023   3.130  1.1821245806e-03
  48.000     0.000    0.000     4.807   5.066   3.130  1.1078500522e-03
