  r_x        r_y      r_z       E_MG_1  E_MG_2  E_NP   E_T (eV)
  34.000     0.000    0.000     4.242   4.470   3.130  1.3174508836e-02
  34.000     0.000    0.000     4.444   4.683   3.130  1.0208071282e-02
  34.000     0.000    0.000     4.646   4.895   3.130  7.6969398141e-03
  34.000     0.000    0.000     4.848   5.108   3.130  5.6785637342e-03
  34.000     0.000    0.000     5.050   5.321   3.130  4.5255974627e-03
  34.000     0.000    0.000     5.252   5.534   3.130  3.8387813283e-03
  34.000     0.000    0.000     5.454   5.747   3.130  3.2500368463e-03
  34.000     0.000    0.000     5.656   5.960   3.130  2.7566208222e-03
  34.000     0.000    0.000     5.858   6.172   3.130  2.3529526485e-03
  36.000     0.000    0.000     2.020   2.128   3.130  7.2115040462e-03
  36.000     0.000    0.000     2.222   2.341   3.130  1.0890633066e-02
  36.000     0.000    0.000     2.424   2.554   3.130  1.7688449180e-02
  36.000     0.000    0.000     2.626   2.767   3.130  3.1670804536e-02
  36.000     0.000    0.000     2.828   2.980   3.130  5.8816729622e-02
  36.000     0.000    0.000     3.030   3.193   3.130  9.6411007458e-02
  36.000     0.000    0.000     3.232   3.406   3.130  8.5102392048e-02
  36.000     0.000    0.000     3.434   3.618   3.130  4.9857628080e-02
  36.000     0.000    0.000     3.636   3.831   3.130  2.9860799574e-02
  36.000     0.000    0.000     3.838   4.044   3.130  1.9255144903e-02
  36.000     0.000    0.000     4.040   4.257   3.130  1.3776091724e-02
  36.000     0.000    0.000     4.242   4.470   3.130  9.7740110171e-03
  36.000     0.000    0.000     4.444   4.683   3.130  7.5891824352e-03
  36.000     0.000    0.000     4.646   4.895   3.130  5.7240410448e-03
  36.000     0.000    0.000     4.848   5.108   3.130  4.2143854555e-03
  36.000     0.000    0.000     5.050   5.321   3.130  3.3191259361e-03
  36.000     0.000    0.000     5.252   5.534   3.130  2.8070535583e-03
  36.000     0.000    0.000     5.454   5.747   3.130  2.3670526687e-03
  36.000     0.000    0.000     5.656   5.960   3.130  1.9978262582e-03
  36.000     0.000    0.000     5.858   6.172   3.130  1.6957195592e-03
  38.000     0.000    0.000     2.020   2.128   3.130  4.9147873364e-03
  38.000     0.000    0.000     2.222   2.341   3.130  7.5782164073e-03
  38.000     0.000    0.000     2.424   2.554   3.130  1.2589492574e-02
  38.000     0.000    0.000     2.626   2.767   3.130  2.3060378168e-02
  38.000     0.000    0.000     2.828   2.980   3.130  4.4999970128e-02
  38.000     0.000    0.000     3.030   3.193   3.130  7.8796664783e-02
  38.000     0.000    0.000     3.232   3.406   3.130  6.8748830949e-02
  38.000     0.000    0.000     3.434   3.618   3.130  3.8421426169e-02
  38.000     0.000    0.000     3.636   3.831   3.130  2.2786108180e-02
  38.000     0.000    0.000     3.838   4.044   3.130  1.4652466356e-02
  38.000     0.000    0.000     4.040   4.257   3.130  1.0455996848e-02
  38.000     0.000    0.000     4.242   4.470   3.130  7.3992379776e-03
  38.000     0.000    0.000     4.444   4.683   3.130  5.7580008287e-03
