  r_x        r_y      r_z       E_MG_1  E_MG_2  E_NP   E_T (eV)
  47.500     0.000    0.000     3.919   4.129   2.350  6.5455965856e-04
  47.500     0.000    0.000     3.959   4.172   2.350  6.3409776358e-04
  47.500     0.000    0.000     3.999   4.214   2.350  6.1351399136e-04
  47.500     0.000    0.000     4.040   4.257   2.350  5.9286938386e-04
  47.500     0.000    0.000     4.080   4.299   2.350  5.7222058853e-04
  47.500     0.000    0.000     4.121   4.342   2.350  5.5161913803e-04
  47.500     0.000    0.000     4.161   4.385   2.350  5.3111885131e-04
  47.500     0.000    0.000     4.201   4.427   2.350  5.1076401028e-04
  47.500     0.000    0.000     4.242   4.470   2.350  4.9060104896e-04
  47.500     0.000    0.000     4.282   4.512   2.350  4.7067128178e-04
  47.500     0.000    0.000     4.323   4.555   2.350  4.5101188733e-04
  47.500     0.000    0.000     4.363   4.597   2.350  4.3165814554e-04
  47.500     0.000    0.000     4.403   4.640   2.350  4.1264331975e-04
  47.500     0.000    0.000     4.444   4.683   2.350  3.9399667058e-04
  47.500     0.000    0.000     4.484   4.725   2.350  3.7574311311e-04
  47.500     0.000    0.000     4.525   4.768   2.350  3.5790891532e-04
  47.500     0.000    0.000     4.565   4.810   2.350  3.4051277192e-04
  47.500     0.000    0.000     4.605   4.853   2.350  3.2357475213e-04
  47.500     0.000    0.000     4.646   4.895   2.350  3.0711088704e-04
  47.500     0.000    0.000     4.686   4.938   2.350  2.9113394168e-04
  47.500     0.000    0.000     4.727   4.981   2.350  2.7565586457e-04
  47.500     0.000    0.000     4.767   5.023   2.350  2.6836827625e-04
  47.500     0.000    0.000     4.807   5.066   2.350  2.6121275411e-04
  47.500     0.000    0.000     4.848   5.108   2.350  2.5416051265e-04
  47.500     0.000    0.000     4.888   5.151   2.350  2.4721543105e-04
  47.500     0.000    0.000     4.928   5.193   2.350  2.4038271085e-04
  47.500     0.000    0.000     4.969   5.236   2.350  2.3366480045e-04
  47.500     0.000    0.000     5.009   5.279   2.350  2.2706492891e-04
  47.500     0.000    0.000     5.050   5.321   2.350  2.2058685350e-04
  47.500     0.000    0.000     5.090   5.364   2.350  2.1423197206e-04
  47.500     0.000    0.000     5.130   5.406   2.350  2.0800280386e-04
  47.500     0.000    0.000     5.171   5.449   2.350  2.0190102696e-04
  47.500     0.000    0.000     5.211   5.491   2.350  1.9592765702e-04
  47.500     0.000    0.000     5.252   5.534   2.350  1.9008414581e-04
  47.500     0.000    0.000     5.292   5.577   2.350  1.8437133860e-04
  47.500     0.000    0.000     5.332   5.619   2.350  1.7878974082e-04
  47.500     0.000    0.000     5.373   5.662   2.350  1.7333928416e-04
  47.500     0.000    0.000     5.413   5.704   2.350  1.6802041077e-04
  47.500     0.000    0.000     5.454   5.747   2.350  1.6283299462e-04
  47.500     0.000    0.000     5.494   5.789   2.350  1.5777663568e-04
  47.500     0.000    0.000     5.534   5.832   2.350  1.5285055234e-04
  47.500     0.000    0.000     5.575   5.875   2.350  1.4805432704e-04
  47.500     0.000    0.000     5.615   5.917   2.350  1.4338709892e-04
  47.500     0.000    0.000     5.656   5.960   2.350  1.3884767150e-04
  47.500     0.000    0.000     5.696   6.002   2.350  1.3443514086e-04
  47.500     0.000    0.000     5.736   6.045   2.350  1.3014829224e-04
  47.500     0.000    0.000     5.777   6.087   2.350  1.2598552701e-04
  47.500     0.000    0.000     5.817   6.130   2.350  1.2194567801e-04
  47.500     0.000    0.000     5.858   6.172   2.350  1.1802726726e-04
  47.500     0.000    0.000     5.898   6.215   2.350  1.1422865600e-04
  47.500     0.000    0.000     5.938   6.258   2.350  1.1054798234e-04
  47.500     0.000    0.000     5.979   6.300   2.350  1.0698376218e-04
  47.500     0.000    0.000     6.019   6.343   2.350  1.0353405473e-04

  48.000     0.000    0.000     2.020   2.128   2.350  3.8131463373e-04
  48.000     0.000    0.000     2.060   2.171   2.350  4.5030326401e-04
  48.000     0.000    0.000     2.101   2.214   2.350  5.3955768337e-04
  48.000     0.000    0.000     2.141   2.256   2.350  6.4627323585e-04
  48.000     0.000    0.000     2.181   2.299   2.350  7.7775470418e-04
  48.000     0.000    0.000     2.222   2.341   2.350  9.1614442058e-04
  48.000     0.000    0.000     2.262   2.384   2.350  1.0672578674e-03
  48.000     0.000    0.000     2.303   2.426   2.350  1.2074725068e-03
  48.000     0.000    0.000     2.343   2.469   2.350  1.3293958278e-03
  48.000     0.000    0.000     2.383   2.512   2.350  1.4266425647e-03
  48.000     0.000    0.000     2.424   2.554   2.350  1.4943824065e-03
  48.000     0.000    0.000     2.464   2.597   2.350  1.5297113355e-03
  48.000     0.000    0.000     2.505   2.639   2.350  1.5395074679e-03
  48.000     0.000    0.000     2.545   2.682   2.350  1.5428920826e-03
  48.000     0.000    0.000     2.585   2.724   2.350  1.5224634807e-03
  48.000     0.000    0.000     2.626   2.767   2.350  1.4981669189e-03
  48.000     0.000    0.000     2.666   2.810   2.350  1.4788898201e-03
  48.000     0.000    0.000     2.707   2.852   2.350  1.4454131959e-03
  48.000     0.000    0.000     2.747   2.895   2.350  1.3993328742e-03
  48.000     0.000    0.000     2.787   2.937   2.350  1.3753509231e-03
  48.000     0.000    0.000     2.828   2.980   2.350  1.3526746588e-03
  48.000     0.000    0.000     2.868   3.022   2.350  1.3227867023e-03
  48.000     0.000    0.000     2.909   3.065   2.350  1.2865152151e-03
  48.000     0.000    0.000     2.949   3.108   2.350  1.2447329108e-03
  48.000     0.000    0.000     2.989   3.150   2.350  1.1983245648e-03
  48.000     0.000    0.000     3.030   3.193   2.350  1.1752235885e-03
  48.000     0.000    0.000     3.070   3.235   2.350  1.1579430813e-03
  48.000     0.000    0.000     3.111   3.278   2.350  1.1375790254e-03
  48.000     0.000    0.000     3.151   3.320   2.350  1.1144309196e-03
  48.000     0.000    0.000     3.191   3.363   2.350  1.0887974440e-03
  48.000     0.000    0.000     3.232   3.406   2.350  1.0609778375e-03
  48.000     0.000    0.000     3.272   3.448   2.350  1.0312636511e-03
  48.000     0.000    0.000     3.313   3.491   2.350  9.9993598743e-04
  48.000     0.000    0.000     3.353   3.533   2.350  9.6726688220e-04
  48.000     0.000    0.000     3.393   3.576   2.350  9.3351734128e-04
  48.000     0.000    0.000     3.434   3.618   2.350  8.9893112098e-04
  48.000     0.000    0.000     3.474   3.661   2.350  8.6373872552e-04
  48.000     0.000    0.000     3.515   3.703   2.350  8.2815496197e-04
  48.000     0.000    0.000     3.555   3.746   2.350  8.0202651439e-04
  48.000     0.000    0.000     3.595   3.789   2.350  7.8623275603e-04
  48.000     0.000    0.000     3.636   3.831   2.350  7.6967107909e-04
